RMS,Peak_Amplitude,Num_Peaks,ZCR,Amplitude_Range,Spread_Ratio,IQR_Ratio,Spectral_Centroid_Hz,Low_Band_Ratio,High_Band_Ratio,Env_RMS,Env_Peak,Mean_Interval,Std_Interval,Waveform_Skew,Waveform_Kurt,Top1_Bin_Energy,Top1_Bin_Center,Top2_Bin_Energy,Top2_Bin_Center,Top3_Bin_Energy,Top3_Bin_Center,Top4_Bin_Energy,Top4_Bin_Center,Top5_Bin_Energy,Top5_Bin_Center,Top6_Bin_Energy,Top6_Bin_Center,Top7_Bin_Energy,Top7_Bin_Center,Top8_Bin_Energy,Top8_Bin_Center,Top9_Bin_Energy,Top9_Bin_Center,Top10_Bin_Energy,Top10_Bin_Center,Label
2566.2186013744085,2960.0,434,4476.31754503002,1761.0,0.6862561295848311,0.002337358784573432,1142.2215715041498,0.5318906192346804,0.46810938076531955,2566.3398987597793,3010.0916052458992,0.006869284064665127,0.006459724480582336,-29.06424461312119,1217.726125429325,115385810997.53726,50,39457488138.401276,750,32776613964.71759,850,27931546251.448112,950,13585528580.87886,650,10209868834.66447,150,9862547014.264141,550,6873053376.024216,250,4092238080.216836,450,3945268841.840229,1050,0
2566.117832741135,2899.0,436,4575.869775509524,1378.0,0.5370104146924144,0.0019477989871445266,1276.8245040198312,0.4687710202470388,0.5312289797529611,2566.177423329882,2927.5483583282553,0.006881839080459771,0.006238734496036509,-30.784026918890643,1479.0097312324624,40147890237.604034,50,20064867768.80038,750,18013116111.22593,850,14148464384.919928,950,9430831458.726337,650,6807326581.973156,250,5837167676.814438,150,5600895491.917961,550,3225747305.5850663,450,2423852561.413904,350,0
2567.7721413844474,2969.0,399,4294.294294294294,1715.0,0.667921927496173,0.001946282600233554,1150.877619165662,0.5163231848959041,0.4836768151040959,2567.878912217682,2997.9359945541614,0.0074527638190954775,0.007197003836361388,-29.42148189107344,1275.9353871063756,92780746596.05203,50,38596031674.167656,750,30077984159.455345,850,22725795011.696434,950,13335004128.351519,650,10192733449.523457,550,9257542780.072361,150,7922348836.985632,250,4400745650.8789835,450,3211119709.7499905,1050,0
2566.937962842858,2917.0,401,4298.763209654298,1537.0,0.5987859131987368,0.0019470404984423676,1200.8804202412314,0.5044739758174186,0.49552602418258146,2567.015270625448,2955.2238167341143,0.00738575,0.00702401750691867,-30.481512469450365,1408.039728000343,59372713150.07932,50,27706561097.747185,750,21974243001.29503,850,16824381496.88706,950,10715314868.316334,650,8884990736.397198,550,7809769353.260902,250,7414059973.068249,150,3925145329.4429903,450,2374450286.039515,350,0
2567.6679512242486,2899.0,406,4436.032550693703,1356.0,0.5281171574301994,0.002336448598130841,1284.8435352126996,0.47953871143589344,0.5204612885641066,2567.7238072183154,2927.2429318795816,0.00732641975308642,0.006881678539971996,-30.81631257472038,1488.601798124485,35443549747.22981,50,19662931732.81419,750,16305978222.921091,850,12842478588.116892,950,8337003791.40303,650,7544488500.596529,250,6710558666.031639,550,5709181986.439531,150,3628050232.395782,450,2400732798.9537826,350,0
2568.617532333841,2882.0,376,4567.46481691456,1252.0,0.4874313570717115,0.0023355391202802647,1304.5606369449806,0.4666197437887788,0.5333802562112213,2568.668265200982,2913.5129089311836,0.007971466666666666,0.007166917457937481,-29.681951313763168,1401.6520769502347,32226240310.723083,50,20061613909.79299,750,15170304782.534794,850,11014612196.532223,950,6697467777.822275,650,6425108179.695681,550,6095616959.2741165,250,4579699294.484455,150,3057167576.4072,450,1913528663.5524757,350,0
2568.132145625903,2946.0,391,4481.355479954639,1629.0,0.6343355865311541,0.001946282600233554,1189.3974567828488,0.5120750487954037,0.4879249512045962,2568.2229627494203,2978.817826276882,0.0075964102564102555,0.006817314866245782,-30.36345840150348,1367.4401894730547,74081436356.5485,50,32376705511.502865,750,25798410482.736095,850,20370624962.99756,950,11261015100.302391,650,9883736542.949173,550,8227470369.217587,150,7745049803.006903,250,4558281176.353423,450,2509468822.890139,350,0
2567.563804693403,2902.0,402,4462.195243971584,1369.0,0.5332026014619646,0.002336448598130841,1272.513786832916,0.48523712261790314,0.5147628773820969,2567.6232555438182,2924.3513381219454,0.007439401496259352,0.007455148927223396,-30.14461644612789,1418.9731868136766,40436255750.36276,50,21914365170.63107,750,17531305782.496307,850,13327917015.341488,950,8032730511.715797,650,7400091073.125505,550,6906031331.196594,250,5836687084.508499,150,3631227100.2275257,450,2190062244.969187,350,0
2568.7539010228547,2896.0,399,4504.816827227574,1381.0,0.5376278316690972,0.001946282600233554,1265.9511308587985,0.49322922710060585,0.5067707728993942,2568.8163774787045,2923.6543434280957,0.007513065326633165,0.006648374581326016,-29.7741287127871,1367.8641352205689,44097954488.49988,50,25384300838.501106,750,16866952321.069588,850,13397763813.798035,950,8873452474.659103,550,7359411421.885104,650,6602921602.373343,250,5636060056.524017,150,3615723865.7159023,450,1931446201.133107,350,0
2569.3936355550672,2940.0,389,4418.216976728679,1642.0,0.6390861280096438,0.0023346303501945525,1161.3196876335528,0.5242664256411925,0.4757335743588075,2569.493507170389,2979.0194578937567,0.007652319587628866,0.007035815574976382,-29.51537068030843,1287.6137570729636,85881549304.01617,50,38999382552.43155,750,27129307044.58812,850,18545592519.459717,950,12618838111.281597,650,10942348634.634642,550,9075386639.719774,150,7971782659.035675,250,4506831196.004708,450,2430959381.0427523,1050,0
